Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Discount tier 1 (min qty) (product.metafields.custom.discount_tier1_qty),Discount tier 2 (min qty) (product.metafields.custom.discount_tier2_qty),Bought together products (product.metafields.globo--filter--product_recommendation.bought_together_products),Complementary products (product.metafields.globo--filter--product_recommendation.complementary_products),Related products (product.metafields.globo--filter--product_recommendation.related_products),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Material (product.metafields.shopify.material),Scent (product.metafields.shopify.scent),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ez-trap-with-removal-tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/EZtrap_03b.jpg?v=1773913714,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ez-trap-with-removal-tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/EZtrap_05.jpg?v=1773913695,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ez-trap-without-removal-tool,ëz trap - without removal tool,"<p class=""s5""><span class=""s4"">ëz trap</span><span class=""s4""> is an innovative cartridge system designed to enhance the efficiency, cleanliness, and odor control of waterless urinals while significantly reducing maintenance costs.</span></p>
<p class=""s5""><span class=""s4"">Featuring the patented </span><span class=""s4"">ëz trap</span><span class=""s4""> Cartridge System, it allows urine to flow naturally through the siphon, with a closing cap that seals after each use. This prevents odors from escaping and ensures that with every </span><span class=""s4"">use</span><span class=""s4"">, old urine is removed from the system, maintaining a fresher restroom environment.</span></p>
<p class=""s3""><strong><span class=""s2"">ëz trap</span><span class=""s2""> offers an efficient, low-maintenance, and cost-saving solution for maintaining odor-free, waterless urinals.</span></strong></p>
<p class=""s5""><span> <img src=""https://cdn.shopify.com/s/files/1/0989/0542/4215/files/Header-desktop-1_5806e45f-a8c3-4521-8180-eecf33edc837.jpg?v=1773740100"" alt=""""></span></p>
<p class=""s3""><span class=""s2"">Key benefits:</span></p>
<ul>
<li class=""s7""><span class=""s4"">Eliminates odors – the siphon and cap system prevent unpleasant drainage smells </span></li>
<li class=""s7""><span class=""s4"">No need for costly gels or specialized cleaners </span></li>
<li class=""s7""><span class=""s4"">Easy and cost-effective maintenance – simply pour a glass of water daily to prevent calcium buildup </span></li>
<li class=""s7""><span class=""s4"">Long-lasting durability – cartridge lasts 4 to 6+ months, with extended lifespan possible through regular cleaning with an anti-calcium agent (e.g., quality toilet gel) </span></li>
<li class=""s7""><span class=""s4"">Universal compatibility – suitable for Sloan, Falcon, Vitra, Bobrick, and other brands using the Falcon Velocity system (diamater 11.8 cm, height 11.5 cm)</span></li>
</ul>",Ekcos Europe OÜ,Home & Garden > Decor > Home Fragrances > Air Fresheners,"","",true,Title,Default Title,,,,,,,,EZT-00,258.0,shopify,72,deny,manual,69.99,,true,true,,,,,EZT-00,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/EZT-1P-V1.jpg?v=1773913714,1,"",false,,,1746,,,,new,,,,,,,,,,,,,,,,,,,,,,g,,,active
ez-trap-without-removal-tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/EZtrap_03b.jpg?v=1773913714,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ez-trap-without-removal-tool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/EZtrap_06.jpg?v=1773913714,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresh-drop-base,frësh drop base white,"<p class=""s13""><span class=""s4"">frësh drop</span><span class=""s4""> is an innovative interior air freshener designed for toilet cubicles and restrooms. Made from a proprietary material infused with a deodorant-based fragrance, it provides a gradual and long-lasting fragrance release, ensuring a consistently fresh and clean restroom environment. Its unique waterdrop-shaped design complements any restroom interior, while the included adhesive tape allows for easy installation on almost any surface.</span></p>
<p class=""s13""><span class=""s4"">Manufactured with recycled and 100% recyclable EVA plastic, </span><span class=""s4"">frësh drop</span><span class=""s4""> is also biodegradable with the </span><span class=""s4"">Eco-One™ </span><span class=""s4"">additive, e</span><span class=""s4"">nsuring</span><span class=""s4""> 93% decomposition within 3.5 years (99% within 5 years) in bioactive landfills. Additionally, it is packaged in </span><span class=""s4"">ane co-friendly cellophane</span><span class=""s4""> bag, making it an environmentally friendly choice.</span></p>
<p class=""s14""><strong><span class=""s2"">frësh drop</span><span class=""s2""> provides an effective, easy-to-install, and eco-friendly air freshening solution for toilet cubicles and restroom interiors.</span></strong></p>
<p><img src=""https://cdn.shopify.com/s/files/1/0989/0542/4215/files/Header-desktop-1_d9462df7-d06c-4682-b2f1-9d1359bdc551.jpg?v=1773649115"" alt=""""></p>
<p class=""s14""><span class=""s2"">Key benefits:</span></p>
<ul>
<li class=""s9"">
<span class=""s4"">Proprietary</span><span class=""s4""> material infused with a deodorant-based fragrance that releases gradually</span>
</li>
<li class=""s9"">
<span class=""s4"">Perfect way to maintain a fresh and clean </span><span class=""s4"">restroom environment</span><span class=""s4"">, specially designed for toilet </span><span class=""s4"">cubicles</span>
</li>
<li class=""s9""><span class=""s4"">Long-lasting fragrance release</span></li>
<li class=""s9"">
<span class=""s4"">Waterdrop design that complements </span><span class=""s4"">any </span><span class=""s4"">restroom interior</span>
</li>
<li class=""s9""><span class=""s4"">Easy installation using the included adhesive tape</span></li>
<li class=""s9""><span class=""s4"">Dimensions: 22.5 x 11.5 x 3.5 cm</span></li>
<li class=""s9"">
<span class=""s4"">W</span><span class=""s4"">ide range of colors and pleasant fragrances</span>
</li>
<li class=""s9""><span class=""s4"">100% recyclable and also biodegradable</span></li>
<li class=""s9""><span class=""s4"">Packaged in an eco-friendly cellophane bag</span></li>
<li class=""s9""><span class=""s4"">Complies with European VOC standards</span></li>
<li class=""s9""><span class=""s4"">Option for private branding through printing</span></li>
</ul>",Ekcos Europe OÜ,Home & Garden > Decor > Home Fragrances > Air Fresheners,"","",true,Title,Default Title,,,,,,,,FDB-01,80.0,shopify,1232,deny,manual,8.99,,true,true,,,,,FDB-01,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/FDB-01-V1.jpg?v=1778962976,1,"",false,,,1746,,,,new,,,,,,,,,,,,,,,,,,,,,,g,,,active
fresh-drop-yellow-citrus,frësh drop insert yellow / citrus,"<p class=""s13""><span class=""s4"">frësh drop</span><span class=""s4""> is an innovative interior air freshener designed for toilet cubicles and restrooms. Made from a proprietary material infused with a deodorant-based fragrance, it provides a gradual and long-lasting fragrance release, ensuring a consistently fresh and clean restroom environment. Its unique waterdrop-shaped design complements any restroom interior, while the included adhesive tape allows for easy installation on almost any surface.</span></p>
<p class=""s13""><span class=""s4"">Manufactured with recycled and 100% recyclable EVA plastic, </span><span class=""s4"">frësh drop</span><span class=""s4""> is also biodegradable with the </span><span class=""s4"">Eco-One™ </span><span class=""s4"">additive, e</span><span class=""s4"">nsuring</span><span class=""s4""> 93% decomposition within 3.5 years (99% within 5 years) in bioactive landfills. Additionally, it is packaged in </span><span class=""s4"">ane co-friendly cellophane</span><span class=""s4""> bag, making it an environmentally friendly choice.</span></p>
<p class=""s14""><strong><span class=""s2"">frësh drop</span><span class=""s2""> provides an effective, easy-to-install, and eco-friendly air freshening solution for toilet cubicles and restroom interiors.</span></strong></p>
<p><img src=""https://cdn.shopify.com/s/files/1/0989/0542/4215/files/Header-desktop-1_d9462df7-d06c-4682-b2f1-9d1359bdc551.jpg?v=1773649115"" alt=""""></p>
<p class=""s14""><span class=""s2"">Key benefits:</span></p>
<ul>
<li class=""s9"">
<span class=""s4"">Proprietary</span><span class=""s4""> material infused with a deodorant-based fragrance that releases gradually</span>
</li>
<li class=""s9"">
<span class=""s4"">Perfect way to maintain a fresh and clean </span><span class=""s4"">restroom environment</span><span class=""s4"">, specially designed for toilet </span><span class=""s4"">cubicles</span>
</li>
<li class=""s9""><span class=""s4"">Long-lasting fragrance release</span></li>
<li class=""s9"">
<span class=""s4"">Waterdrop design that complements </span><span class=""s4"">any </span><span class=""s4"">restroom interior</span>
</li>
<li class=""s9""><span class=""s4"">Easy installation using the included adhesive tape</span></li>
<li class=""s9""><span class=""s4"">Dimensions: 22.5 x 11.5 x 3.5 cm</span></li>
<li class=""s9"">
<span class=""s4"">W</span><span class=""s4"">ide range of colors and pleasant fragrances</span>
</li>
<li class=""s9""><span class=""s4"">100% recyclable and also biodegradable</span></li>
<li class=""s9""><span class=""s4"">Packaged in an eco-friendly cellophane bag</span></li>
<li class=""s9""><span class=""s4"">Complies with European VOC standards</span></li>
<li class=""s9""><span class=""s4"">Option for private branding through printing</span></li>
</ul>",Ekcos Europe OÜ,Home & Garden > Decor > Home Fragrances > Air Fresheners,"","",true,Title,Default Title,,,,,,,,FDI-13C,80.0,shopify,669,deny,manual,7.99,,true,true,,,,,FDI-13C,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/FDI-13C-V1.jpg?v=1771490286,1,"",false,,,1746,,,,new,,,,,,,,,,,,,,yellow-citrus,,citrus,fresh-drop-base,"",ahead,,,g,,,active
fresh-drop-yellow-citrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/FDI-13C-V5.jpg?v=1771490287,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresh-drop-yellow-citrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/FDI-13C-V3.jpg?v=1771490291,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresh-drop-yellow-citrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/FDI-13C-V4.jpg?v=1771490287,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresh-drop-purple-lavender,frësh drop insert purple / lavender,"<p class=""s13""><span class=""s4"">frësh drop</span><span class=""s4""> is an innovative interior air freshener designed for toilet cubicles and restrooms. Made from a proprietary material infused with a deodorant-based fragrance, it provides a gradual and long-lasting fragrance release, ensuring a consistently fresh and clean restroom environment. Its unique waterdrop-shaped design complements any restroom interior, while the included adhesive tape allows for easy installation on almost any surface.</span></p>
<p class=""s13""><span class=""s4"">Manufactured with recycled and 100% recyclable EVA plastic, </span><span class=""s4"">frësh drop</span><span class=""s4""> is also biodegradable with the </span><span class=""s4"">Eco-One™ </span><span class=""s4"">additive, e</span><span class=""s4"">nsuring</span><span class=""s4""> 93% decomposition within 3.5 years (99% within 5 years) in bioactive landfills. Additionally, it is packaged in </span><span class=""s4"">ane co-friendly cellophane</span><span class=""s4""> bag, making it an environmentally friendly choice.</span></p>
<p class=""s14""><strong><span class=""s2"">frësh drop</span><span class=""s2""> provides an effective, easy-to-install, and eco-friendly air freshening solution for toilet cubicles and restroom interiors.</span></strong></p>
<p><img src=""https://cdn.shopify.com/s/files/1/0989/0542/4215/files/Header-desktop-1_d9462df7-d06c-4682-b2f1-9d1359bdc551.jpg?v=1773649115"" alt=""""></p>
<p class=""s14""><span class=""s2"">Key benefits:</span></p>
<ul>
<li class=""s9"">
<span class=""s4"">Proprietary</span><span class=""s4""> material infused with a deodorant-based fragrance that releases gradually</span>
</li>
<li class=""s9"">
<span class=""s4"">Perfect way to maintain a fresh and clean </span><span class=""s4"">restroom environment</span><span class=""s4"">, specially designed for toilet </span><span class=""s4"">cubicles</span>
</li>
<li class=""s9""><span class=""s4"">Long-lasting fragrance release</span></li>
<li class=""s9"">
<span class=""s4"">Waterdrop design that complements </span><span class=""s4"">any </span><span class=""s4"">restroom interior</span>
</li>
<li class=""s9""><span class=""s4"">Easy installation using the included adhesive tape</span></li>
<li class=""s9""><span class=""s4"">Dimensions: 22.5 x 11.5 x 3.5 cm</span></li>
<li class=""s9"">
<span class=""s4"">W</span><span class=""s4"">ide range of colors and pleasant fragrances</span>
</li>
<li class=""s9""><span class=""s4"">100% recyclable and also biodegradable</span></li>
<li class=""s9""><span class=""s4"">Packaged in an eco-friendly cellophane bag</span></li>
<li class=""s9""><span class=""s4"">Complies with European VOC standards</span></li>
<li class=""s9""><span class=""s4"">Option for private branding through printing</span></li>
</ul>",Ekcos Europe OÜ,Home & Garden > Decor > Home Fragrances > Air Fresheners,"","",true,Title,Default Title,,,,,,,,FDI-12P,80.0,shopify,306,deny,manual,7.99,,true,true,,,,,FDI-12P,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/FDI-12P-V1.jpg?v=1771490287,1,"",false,,,1746,,,,new,,,,,,,,,,,,,1,purple-lavender,,lavender,fresh-drop-base,"",ahead,,,g,,,active
fresh-drop-purple-lavender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/FDI-12P-V5.jpg?v=1771490287,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresh-drop-purple-lavender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/FDI-12P-V3.jpg?v=1771490291,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fresh-drop-purple-lavender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/FDI-12P-V4.jpg?v=1771490286,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
